rank	name	year	rating	votes	imglink	imdbLink
26	It's a Wonderful Life	1946	8.6	189230	"http://ia.media-imdb.com/images/M/MV5BMTMzMzY5NDc4M15BMl5BanBnXkFtZTcwMzc4NjIxNw@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0038650/?ref_=chttp_tt_26
27	Casablanca	1942	8.6	286519	"http://ia.media-imdb.com/images/M/MV5BMTcwNDI5MjI1Ml5BMl5BanBnXkFtZTYwODE4NDI2._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0034583/?ref_=chttp_tt_27
28	Léon: The Professional	1994	8.6	476081	"http://ia.media-imdb.com/images/M/MV5BMTgzMzg4MDkwNF5BMl5BanBnXkFtZTcwODAwNDg3OA@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0110413/?ref_=chttp_tt_28
29	Raiders of the Lost Ark	1981	8.6	455718	"http://ia.media-imdb.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0082971/?ref_=chttp_tt_29
30	Rear Window	1954	8.6	220088	"http://ia.media-imdb.com/images/M/MV5BNDUzMTY0NTE3NF5BMl5BanBnXkFtZTYwNDEyOTM2._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0047396/?ref_=chttp_tt_30
31	Psycho	1960	8.6	283352	"http://ia.media-imdb.com/images/M/MV5BMTgyNDIxNzQ4MF5BMl5BanBnXkFtZTYwMzkyNTQ2._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0054215/?ref_=chttp_tt_31
32	American History X	1998	8.5	520244	"http://ia.media-imdb.com/images/M/MV5BMjMzNDUwNTIyMF5BMl5BanBnXkFtZTcwNjMwNDg3OA@@._V1_SY50_CR2,0,34,50_.jpg"	/title/tt0120586/?ref_=chttp_tt_32
33	City Lights	1931	8.5	65794	"http://ia.media-imdb.com/images/M/MV5BMTc2NzYxMzY5MV5BMl5BanBnXkFtZTYwNzY5MTE5._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0021749/?ref_=chttp_tt_33
34	Saving Private Ryan	1998	8.5	571325	"http://ia.media-imdb.com/images/M/MV5BNjczODkxNTAxN15BMl5BanBnXkFtZTcwMTcwNjUxMw@@._V1_SY50_CR1,0,34,50_.jpg"	/title/tt0120815/?ref_=chttp_tt_34
35	Life Is Beautiful	1997	8.5	249993	"http://ia.media-imdb.com/images/M/MV5BMTM3NDg0OTkxOV5BMl5BanBnXkFtZTcwMTk2NzIyMQ@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0118799/?ref_=chttp_tt_35
36	Sunset Blvd.	1950	8.5	98050	"http://ia.media-imdb.com/images/M/MV5BMTk2OTQ5NDA4MV5BMl5BanBnXkFtZTcwNDIyNzE3OQ@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0043014/?ref_=chttp_tt_36
37	Memento	2000	8.5	579880	"http://ia.media-imdb.com/images/M/MV5BMTc4MjUxNDAwN15BMl5BanBnXkFtZTcwMDMwNDg3OA@@._V1_SY50_CR2,0,34,50_.jpg"	/title/tt0209144/?ref_=chttp_tt_37
38	Spirited Away	2001	8.5	257516	"http://ia.media-imdb.com/images/M/MV5BMjYxMDcyMzIzNl5BMl5BanBnXkFtZTYwNDg2MDU3._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0245429/?ref_=chttp_tt_38
39	Terminator 2: Judgment Day	1991	8.5	500742	"http://ia.media-imdb.com/images/M/MV5BMTg5NzUwMDU5NF5BMl5BanBnXkFtZTcwMjk2MDA4Mg@@._V1_SY50_CR3,0,34,50_.jpg"	/title/tt0103064/?ref_=chttp_tt_39
40	Apocalypse Now	1979	8.5	320590	"http://ia.media-imdb.com/images/M/MV5BMTcyMzQ5NDM4OV5BMl5BanBnXkFtZTcwODUwNDg3OA@@._V1_SY50_CR2,0,34,50_.jpg"	/title/tt0078788/?ref_=chttp_tt_40
41	Modern Times	1936	8.5	84863	"http://ia.media-imdb.com/images/M/MV5BMjMwMDA5NzEwOF5BMl5BanBnXkFtZTcwMzgwNDg3OA@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0027977/?ref_=chttp_tt_41
42	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	8.5	254824	"http://ia.media-imdb.com/images/M/MV5BMTU2ODM2NTkxNF5BMl5BanBnXkFtZTcwOTMwMzU3Mg@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0057012/?ref_=chttp_tt_42
43	The Pianist	2002	8.5	312968	"http://ia.media-imdb.com/images/M/MV5BMTc4OTkyOTA3OF5BMl5BanBnXkFtZTYwMDIxNjk5._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0253474/?ref_=chttp_tt_43
44	Alien	1979	8.5	375617	"http://ia.media-imdb.com/images/M/MV5BMTk3NzkwMjA3OV5BMl5BanBnXkFtZTYwMTIwOTk2._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0078748/?ref_=chttp_tt_44
45	The Intouchables	2011	8.5	253026	"http://ia.media-imdb.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt1675434/?ref_=chttp_tt_45
46	Back to the Future	1985	8.5	455042	"http://ia.media-imdb.com/images/M/MV5BMTk4OTQ1OTMwN15BMl5BanBnXkFtZTcwOTIwMzM3MQ@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0088763/?ref_=chttp_tt_46
47	The Departed	2006	8.5	566036	"http://ia.media-imdb.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0407887/?ref_=chttp_tt_47
48	The Green Mile	1999	8.4	471445	"http://ia.media-imdb.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0120689/?ref_=chttp_tt_48
49	The Dark Knight Rises	2012	8.4	715739	"http://ia.media-imdb.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt1345836/?ref_=chttp_tt_49
50	Gladiator	2000	8.4	627824	"http://ia.media-imdb.com/images/M/MV5BNTQ2NzI0ODc5MV5BMl5BanBnXkFtZTcwMTA0MTk3OA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0172495/?ref_=chttp_tt_50
51	The Shining	1980	8.4	398638	"http://ia.media-imdb.com/images/M/MV5BODMxMjE3NTA4Ml5BMl5BanBnXkFtZTgwNDc0NTIxMDE@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0081505/?ref_=chttp_tt_51
52	North by Northwest	1959	8.4	160237	"http://ia.media-imdb.com/images/M/MV5BMTc1MjczNTgxM15BMl5BanBnXkFtZTcwOTYwNDg3OA@@._V1_SY50_CR2,0,34,50_.jpg"	/title/tt0053125/?ref_=chttp_tt_52
53	Django Unchained	2012	8.4	507513	"http://ia.media-imdb.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt1853728/?ref_=chttp_tt_53
54	Paths of Glory	1957	8.4	81429	"http://ia.media-imdb.com/images/M/MV5BMTUxNTcxMjI5NV5BMl5BanBnXkFtZTcwNTcyNjI3Mw@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0050825/?ref_=chttp_tt_54
55	The Lives of Others	2006	8.4	175934	"http://ia.media-imdb.com/images/M/MV5BNDUzNjYwNDYyNl5BMl5BanBnXkFtZTcwNjU3ODQ0MQ@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0405094/?ref_=chttp_tt_55
56	Citizen Kane	1941	8.4	221813	"http://ia.media-imdb.com/images/M/MV5BMTQ2Mjc1MDQwMl5BMl5BanBnXkFtZTcwNzUyOTUyMg@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0033467/?ref_=chttp_tt_56
57	American Beauty	1999	8.4	577340	"http://ia.media-imdb.com/images/M/MV5BOTU1MzExMDg3N15BMl5BanBnXkFtZTcwODExNDg3OA@@._V1_SY50_CR2,0,34,50_.jpg"	/title/tt0169547/?ref_=chttp_tt_57
58	The Great Dictator	1940	8.4	82530	"http://ia.media-imdb.com/images/M/MV5BMTQyNTgyNTQ3N15BMl5BanBnXkFtZTcwMzgyMDYyMQ@@._V1_SY50_CR1,0,34,50_.jpg"	/title/tt0032553/?ref_=chttp_tt_58
59	M	1931	8.4	71077	"http://ia.media-imdb.com/images/M/MV5BMTIwNDU4OTI2MF5BMl5BanBnXkFtZTcwNzI5MjcyMQ@@._V1_SY50_CR1,0,34,50_.jpg"	/title/tt0022100/?ref_=chttp_tt_59
60	WALL·E	2008	8.4	452490	"http://ia.media-imdb.com/images/M/MV5BMTczOTA3MzY2N15BMl5BanBnXkFtZTcwOTYwNjE2MQ@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0910970/?ref_=chttp_tt_60
61	The Prestige	2006	8.4	524927	"http://ia.media-imdb.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0482571/?ref_=chttp_tt_61
62	Aliens	1986	8.4	339709	"http://ia.media-imdb.com/images/M/MV5BMTYzNzU5MzQ4OV5BMl5BanBnXkFtZTcwMDcxNDg3OA@@._V1_SY50_CR2,0,34,50_.jpg"	/title/tt0090605/?ref_=chttp_tt_62
63	Cinema Paradiso	1988	8.4	97375	"http://ia.media-imdb.com/images/M/MV5BNDMwNDk3NDQ0Nl5BMl5BanBnXkFtZTcwNjEwMjI2MQ@@._V1_SY50_CR1,0,34,50_.jpg"	/title/tt0095765/?ref_=chttp_tt_63
64	Vertigo	1958	8.4	168679	"http://ia.media-imdb.com/images/M/MV5BNzY0NzQyNzQzOF5BMl5BanBnXkFtZTcwMTgwNTk4OQ@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0052357/?ref_=chttp_tt_64
65	Amélie	2001	8.4	364618	"http://ia.media-imdb.com/images/M/MV5BMTUwNzkwMTk5Nl5BMl5BanBnXkFtZTYwMDAzMDI5._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0211915/?ref_=chttp_tt_65
66	Toy Story 3	2010	8.4	337154	"http://ia.media-imdb.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0435761/?ref_=chttp_tt_66
67	Double Indemnity	1944	8.4	68294	"http://ia.media-imdb.com/images/M/MV5BMTUyNzM2NzM2NV5BMl5BanBnXkFtZTcwNzYxNDg3OA@@._V1_SY50_CR2,0,34,50_.jpg"	/title/tt0036775/?ref_=chttp_tt_67
68	Taxi Driver	1976	8.4	334498	"http://ia.media-imdb.com/images/M/MV5BMTQ1Nzg3MDQwN15BMl5BanBnXkFtZTcwNDE2NDU2MQ@@._V1_SY50_CR1,0,34,50_.jpg"	/title/tt0075314/?ref_=chttp_tt_68
69	The Lion King	1994	8.4	382951	"http://ia.media-imdb.com/images/M/MV5BMjEyMzgwNTUzMl5BMl5BanBnXkFtZTcwNTMxMzM3Ng@@._V1_SY50_CR2,0,34,50_.jpg"	/title/tt0110357/?ref_=chttp_tt_69
70	A Clockwork Orange	1971	8.4	370939	"http://ia.media-imdb.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0066921/?ref_=chttp_tt_70
71	Das Boot	1981	8.4	122262	"http://ia.media-imdb.com/images/M/MV5BMjE5Mzk5OTQ0Nl5BMl5BanBnXkFtZTYwNzUwMTQ5._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0082096/?ref_=chttp_tt_71
72	To Kill a Mockingbird	1962	8.4	148283	"http://ia.media-imdb.com/images/M/MV5BMjA4MzI1NDY2Nl5BMl5BanBnXkFtZTcwMTcyODc5Mw@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0056592/?ref_=chttp_tt_72
73	Lawrence of Arabia	1962	8.4	135150	"http://ia.media-imdb.com/images/M/MV5BMzAwMjM4NzA2OV5BMl5BanBnXkFtZTcwMDI0NzAwMQ@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0056172/?ref_=chttp_tt_73
74	Reservoir Dogs	1992	8.4	434660	"http://ia.media-imdb.com/images/M/MV5BMTQxMTAwMDQ3Nl5BMl5BanBnXkFtZTcwODMwNTgzMQ@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0105236/?ref_=chttp_tt_74
75	Oldboy	2003	8.3	231389	"http://ia.media-imdb.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0364569/?ref_=chttp_tt_75
76	Requiem for a Dream	2000	8.3	395334	"http://ia.media-imdb.com/images/M/MV5BMzM2OTYwMTY4Nl5BMl5BanBnXkFtZTcwMjU1Njg3OA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0180093/?ref_=chttp_tt_76
77	Once Upon a Time in America	1984	8.3	152345	"http://ia.media-imdb.com/images/M/MV5BNDMwMDcyODkzOV5BMl5BanBnXkFtZTcwNTQ1Njg3OA@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0087843/?ref_=chttp_tt_77
78	Star Wars: Episode VI - Return of the Jedi	1983	8.3	426605	"http://ia.media-imdb.com/images/M/MV5BMjE5MTM3ODU5MV5BMl5BanBnXkFtZTcwOTYzNjk2OQ@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0086190/?ref_=chttp_tt_78
79	Braveheart	1995	8.3	500560	"http://ia.media-imdb.com/images/M/MV5BNjA4ODYxMDU3Nl5BMl5BanBnXkFtZTcwMzkzMTk3OA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0112573/?ref_=chttp_tt_79
80	Eternal Sunshine of the Spotless Mind	2004	8.3	455689	"http://ia.media-imdb.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0338013/?ref_=chttp_tt_80
