rank,name,imdbLink,year,rating,votes
213,Life of Pi,http://www.imdb.com/title/tt0454876/?ref_=chttp_tt_213,2012,8,"8.0 based on 253,101 votes"
214,Fanny and Alexander,http://www.imdb.com/title/tt0083922/?ref_=chttp_tt_214,1982,8,"8.0 based on 27,593 votes"
215,Infernal Affairs,http://www.imdb.com/title/tt0338564/?ref_=chttp_tt_215,2002,8,"8.0 based on 64,208 votes"
216,Stalag 17,http://www.imdb.com/title/tt0046359/?ref_=chttp_tt_216,1953,8,"8.0 based on 33,758 votes"
217,Barry Lyndon,http://www.imdb.com/title/tt0072684/?ref_=chttp_tt_217,1975,8,"8.0 based on 69,959 votes"
218,The Truman Show,http://www.imdb.com/title/tt0120382/?ref_=chttp_tt_218,1998,8,"8.0 based on 412,329 votes"
219,The Wild Bunch,http://www.imdb.com/title/tt0065214/?ref_=chttp_tt_219,1969,8,"8.0 based on 51,534 votes"
220,Pirates of the Caribbean: The Curse of the Black Pearl,http://www.imdb.com/title/tt0325980/?ref_=chttp_tt_220,2003,8,"8.0 based on 523,196 votes"
221,Roman Holiday,http://www.imdb.com/title/tt0046250/?ref_=chttp_tt_221,1953,8,"8.0 based on 64,007 votes"
222,All Quiet on the Western Front,http://www.imdb.com/title/tt0020629/?ref_=chttp_tt_222,1930,8,"8.0 based on 38,557 votes"
223,A Fistful of Dollars,http://www.imdb.com/title/tt0058461/?ref_=chttp_tt_223,1964,8,"8.0 based on 83,295 votes"
224,Jurassic Park,http://www.imdb.com/title/tt0107290/?ref_=chttp_tt_224,1993,8,"8.0 based on 347,753 votes"
225,Memories of Murder,http://www.imdb.com/title/tt0353969/?ref_=chttp_tt_225,2003,8,"8.0 based on 34,445 votes"
226,Harry Potter and the Deathly Hallows: Part 2,http://www.imdb.com/title/tt1201607/?ref_=chttp_tt_226,2011,8,"8.0 based on 305,712 votes"
227,Star Trek,http://www.imdb.com/title/tt0796366/?ref_=chttp_tt_227,2009,8,"8.0 based on 365,810 votes"
228,Sleuth,http://www.imdb.com/title/tt0069281/?ref_=chttp_tt_228,1972,8,"8.0 based on 30,859 votes"
229,Shutter Island,http://www.imdb.com/title/tt1130884/?ref_=chttp_tt_229,2010,8,"8.0 based on 440,429 votes"
230,Ratatouille,http://www.imdb.com/title/tt0382932/?ref_=chttp_tt_230,2007,8,"8.0 based on 319,654 votes"
231,A Streetcar Named Desire,http://www.imdb.com/title/tt0044081/?ref_=chttp_tt_231,1951,8,"8.0 based on 61,169 votes"
232,Ip Man,http://www.imdb.com/title/tt1220719/?ref_=chttp_tt_232,2008,8,"8.0 based on 88,028 votes"
233,The Diving Bell and the Butterfly,http://www.imdb.com/title/tt0401383/?ref_=chttp_tt_233,2007,8,"8.0 based on 70,177 votes"
234,Rain Man,http://www.imdb.com/title/tt0095953/?ref_=chttp_tt_234,1988,8,"8.0 based on 279,639 votes"
235,The Hobbit: An Unexpected Journey,http://www.imdb.com/title/tt0903624/?ref_=chttp_tt_235,2012,8,"8.0 based on 361,326 votes"
236,Bringing Up Baby,http://www.imdb.com/title/tt0029947/?ref_=chttp_tt_236,1938,8,"8.0 based on 36,038 votes"
237,District 9,http://www.imdb.com/title/tt1136608/?ref_=chttp_tt_237,2009,7.9,"7.9 based on 391,454 votes"
238,Incendies,http://www.imdb.com/title/tt1255953/?ref_=chttp_tt_238,2010,7.9,"7.9 based on 37,572 votes"
239,Stalker,http://www.imdb.com/title/tt0079944/?ref_=chttp_tt_239,1979,7.9,"7.9 based on 43,884 votes"
240,Nausicaä of the Valley of the Wind,http://www.imdb.com/title/tt0087544/?ref_=chttp_tt_240,1984,7.9,"7.9 based on 53,923 votes"
241,La Haine,http://www.imdb.com/title/tt0113247/?ref_=chttp_tt_241,1995,7.9,"7.9 based on 64,647 votes"
242,Rosemary's Baby,http://www.imdb.com/title/tt0063522/?ref_=chttp_tt_242,1968,7.9,"7.9 based on 105,063 votes"
243,Beauty and the Beast,http://www.imdb.com/title/tt0101414/?ref_=chttp_tt_243,1991,7.9,"7.9 based on 190,876 votes"
244,The Artist,http://www.imdb.com/title/tt1655442/?ref_=chttp_tt_244,2011,7.9,"7.9 based on 134,573 votes"
245,Before Sunrise,http://www.imdb.com/title/tt0112471/?ref_=chttp_tt_245,1995,7.9,"7.9 based on 103,049 votes"
246,Mystic River,http://www.imdb.com/title/tt0327056/?ref_=chttp_tt_246,2003,7.9,"7.9 based on 258,102 votes"
247,3 Idiots,http://www.imdb.com/title/tt1187043/?ref_=chttp_tt_247,2009,7.9,"7.9 based on 84,730 votes"
248,Three Colors: Red,http://www.imdb.com/title/tt0111495/?ref_=chttp_tt_248,1994,7.9,"7.9 based on 43,839 votes"
249,Papillon,http://www.imdb.com/title/tt0070511/?ref_=chttp_tt_249,1973,7.9,"7.9 based on 63,362 votes"
250,Magnolia,http://www.imdb.com/title/tt0175880/?ref_=chttp_tt_250,1999,7.9,"7.9 based on 196,248 votes"
,,,,,
,"
          Prime Instant Video
          Unlimited Streamingof Movies & TV
        ",http://www.amazon.com/b?ie=UTF8&node=2676882011&tag=imdbpr1-20,,,
